name,brand,description,price,gender,department,section,category,subcategory,sport,sizes,stock,images_default,images_men,images_women,discount,rating,featured
XTRN Dri-Fit Crew T-Shirt,XTRN,Dri-Fit Crew T-Shirt for everyday training and casual wear,799,men,men,Top Wear,T-Shirts,,,S|M|L|XL,65,https://res.cloudinary.com/duvfdxql9/image/upload/v1786963113/XTRN_Dri-Fit_Crew_T-Shirt_2_gsegjk.jpg|https://res.cloudinary.com/duvfdxql9/image/upload/v1786963113/XTRN_Dri-Fit_Crew_T-Shirt_1_xmaxpg.jpg|https://res.cloudinary.com/duvfdxql9/image/upload/v1786963113/XTRN_Dri-Fit_Crew_T-Shirt_3_spey7a.jpg,,,0,0,TRUE
XTRN Performance Polo T-Shirt,XTRN,Performance Polo T-Shirt for everyday training and casual wear,899,men,men,Top Wear,T-Shirts,,,S|M|L|XL,70,https://res.cloudinary.com/duvfdxql9/image/upload/v1786963797/XTRN_Performance_Polo_T-Shirt_1_qak3jd.jpg|https://res.cloudinary.com/duvfdxql9/image/upload/v1786963797/XTRN_Performance_Polo_T-Shirt_3_budifa.jpg|https://res.cloudinary.com/duvfdxql9/image/upload/v1786963797/XTRN_Performance_Polo_T-Shirt_2_gn2xiv.jpg,,,0,0,FALSE
XTRN Classic Crew T-Shirt,XTRN,Classic Crew T-Shirt for everyday training and casual wear,999,men,men,Top Wear,T-Shirts,,,S|M|L|XL,75,https://res.cloudinary.com/duvfdxql9/image/upload/v1786964587/Copy_of_Screenshot_2026-08-17_154730.png_202608171630_fu6yqa.jpg|https://res.cloudinary.com/duvfdxql9/image/upload/v1786964587/Copy_of_Screenshot_2026-08-17_154730.png_202608171631_1_gsqihw.jpg|https://res.cloudinary.com/duvfdxql9/image/upload/v1786964587/Copy_of_Screenshot_2026-08-17_154730.png_202608171631_hu6dbg.jpg,,,0,0,FALSE
XTRN Compression Base Tee,XTRN,Compression Base Tee for everyday training and casual wear,699,men,men,Top Wear,T-Shirts,,,S|M|L|XL,80,https://res.cloudinary.com/duvfdxql9/image/upload/v1787027126/Model_wearing_compression_base_tee_202608180953_fhbr8o.jpg|https://res.cloudinary.com/duvfdxql9/image/upload/v1787027126/Model_wearing_compression_base_tee_202608180954_qgbp6t.jpg|https://res.cloudinary.com/duvfdxql9/image/upload/v1787027126/Model_wearing_compression_base_tee_202608180954_1_bfewbc.jpg,,,0,0,FALSE
XTRN Graphic Logo Tee,XTRN,Graphic Logo Tee for everyday training and casual wear,799,men,men,Top Wear,T-Shirts,,,S|M|L|XL,85,https://res.cloudinary.com/duvfdxql9/image/upload/v1787027782/Model_wearing_logo_tee_202608180957_zzepmy.jpg|https://res.cloudinary.com/duvfdxql9/image/upload/v1787027781/Model_wearing_logo_tee_202608180958_sadvqq.jpg|https://res.cloudinary.com/duvfdxql9/image/upload/v1787027781/Model_wearing_logo_tee_202608180958_1_q87zb5.jpg,,,0,0,TRUE
XTRN Raglan Sleeve T-Shirt,XTRN,Raglan Sleeve T-Shirt for everyday training and casual wear,899,men,men,Top Wear,T-Shirts,,,S|M|L|XL,90,https://res.cloudinary.com/duvfdxql9/image/upload/v1787028006/Fitness_model_wearing_t-shirt_202608181008_nko6vc.jpg|https://res.cloudinary.com/duvfdxql9/image/upload/v1787028005/Fitness_model_wearing_t-shirt_202608181009_u4y147.jpg|https://res.cloudinary.com/duvfdxql9/image/upload/v1787028004/Fitness_model_wearing_t-shirt_202608181009_1_pedvpd.jpg,,,0,0,FALSE
XTRN V-Neck Training Tee,XTRN,V-Neck Training Tee for everyday training and casual wear,999,men,men,Top Wear,T-Shirts,,,S|M|L|XL,95,https://res.cloudinary.com/duvfdxql9/image/upload/v1787028187/Athletic_model_wearing_burgundy_tee_202608181011_wiuhwz.jpg|https://res.cloudinary.com/duvfdxql9/image/upload/v1787028186/Athletic_model_wearing_burgundy_tee_202608181012_xn15qx.jpg|https://res.cloudinary.com/duvfdxql9/image/upload/v1787028185/Athletic_model_wearing_burgundy_tee_202608181012_1_llnfzo.jpg,,,0,0,FALSE
XTRN Henley Casual Tee,XTRN,Henley Casual Tee for everyday training and casual wear,699,men,men,Top Wear,T-Shirts,,,S|M|L|XL,100,https://res.cloudinary.com/duvfdxql9/image/upload/v1787028372/Athletic_model_wearing_burgundy_tee_202608181014_tyljzv.jpg|https://res.cloudinary.com/duvfdxql9/image/upload/v1787028372/Athletic_model_wearing_burgundy_tee_202608181015_ftq32a.jpg|https://res.cloudinary.com/duvfdxql9/image/upload/v1787028371/Athletic_model_wearing_burgundy_tee_202608181015_1_qeyea5.jpg,,,0,0,FALSE
XTRN Mesh Panel Running Tee,XTRN,Mesh Panel Running Tee for everyday training and casual wear,799,men,men,Top Wear,T-Shirts,,,S|M|L|XL,105,https://res.cloudinary.com/duvfdxql9/image/upload/v1787028560/Model_wearing_blue_running_tee_202608181017_mjiv85.jpg|https://res.cloudinary.com/duvfdxql9/image/upload/v1787028559/Model_wearing_blue_running_tee_202608181018_mxuuur.jpg|https://res.cloudinary.com/duvfdxql9/image/upload/v1787028559/Model_wearing_blue_running_tee_202608181018_1_vmxqls.jpg,,,0,0,FALSE
XTRN Oversized Street Tee,XTRN,Oversized Street Tee for everyday training and casual wear,899,men,men,Top Wear,T-Shirts,,,S|M|L|XL,110,https://res.cloudinary.com/duvfdxql9/image/upload/v1787028725/Model_wearing_blue_running_tee_202608181020_zfvquw.jpg|https://res.cloudinary.com/duvfdxql9/image/upload/v1787028723/Model_wearing_blue_running_tee_202608181021_esynes.jpg|https://res.cloudinary.com/duvfdxql9/image/upload/v1787028722/Model_wearing_blue_running_tee_202608181021_1_ovc1ba.jpg,,,0,0,FALSE
